NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
LHAKPA TEN SHERPA,NEPAL,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
SHAMBU TAMANG,NEPAL,5,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
FARRIZION INNAMORATE,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
VIRGINIO EPIS,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
CHAUDIO BENEDETTI,ITALY,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
SONAM GYALJEN SHERPA,NEPAL,7,5,1973,SOUTHCOL,ITALIAN EXPEDITION,""""
YASUO KATO,JAPAN,26,10,1973,SOUTHCOL,JAPAN EXPEDITION,Michio Yuasa
HISASHI ISHIGURO,JAPAN,26,5,1975,SOUTHCOL,JAPAN EXPEDITION,""""
MRS. JUNKO TABEI,JAPAN,16,5,1975,SOUTHCOL,JAPAN EXPEDITION,Mrs. Eiko Hisano
ANG TSHERING SHERPA,NEPAL,16,5,1975,SOUTHCOL,JAPAN EXPEDITION,""""
MRS. PHANTOG,CHINA,27,5,1975,NORTHCOL,CHINESE EXPEDITION,Shih Chan Chun
SONAM NORBU,CHINA,27,5,1975,NORTHCOL,"""",""""
LOTSE,CHINA,27,5,1975,NORTHCOL,"""",""""
HOU SHENG FU,CHINA,27,5,1975,NORTHCOL,"""",""""
SAMDRUB,CHINA,27,5,1975,NORTHCOL,"""",""""
DARPHUNTSO,CHINA,27,5,1975,NORTHCOL,"""",""""
KUNGA PASANG,CHINA,27,5,1975,NORTHCOL,"""",""""
TSERING TOBGYAL,CHINA,27,5,1975,NORTHCOL,"""",""""
NGAPO KHYEN,CHINA,27,5,1975,NORTHCOL,"""",""""
DOUG SCOTT,UK,24,9,1975,SOUTH FACE,BRITISH EXPEDITION,Chris Bonington
DOUGAL HASTON,UK,24,9,1975,SOUTH FACE,"""",""""
PETER BOARDMAN,UK,26,9,1975,SOUTH FACE,"""",""""
PERTEMBA SHERPA,NEPAL,26,9,1975,SOUTH FACE,"""",""""
BROMMY STOKES,UK,6,5,1976,SOUTHCOL,BRITISH ARMY EXP,H.R.S Streather
BRONCOLAND,UK,6,5,1976,SOUTHCOL,"""",""""
ROBERT CORMACK,USA,8,10,1976,SOUTHCOL,"AMERICAN BICENTINAL
EXPD.",Phillietriamble
CHRIS CHANGLER,USA,8,10,1976,SOUTHCOL,"""",""""
SANG DON KU,SOUTH KOREA,15,9,1977,SOUTHCOL,SOUTH KOREAN EXP,Youn do Kim
PEMBA NORU SHERPA,NEPAL,15,9,1977,SOUTHCOL,"""",""""
WOLFGANG NAIRZ,AUSTRALIA,3,5,1978,SOUTHCOL,AUSTRIAN EXPEDITION,Wolfgang Nairz
ROBERT SXHAUER,AUSTRALIA,3,5,1978,SOUTHCOL,"""",""""
ANG PHU SHERPA,NEPAL,3,5,1978,SOUTHCOL,"""",""""
HORST BERGMANN,AUSTRIA,3,5,1978,SOUTHCOL,"""",""""
RENHOLD MESSNER,ITALY,8,5,1978,SOUTHCOL,"""",""""
PETER HABELER,ITALY,8,5,1978,SOUTHCOL,"""",""""
DR. OSWALD QELZ,ITALY,11,5,1978,SOUTHCOL,"""",""""
RAINHARD KARL,GERMANY,11,5,1978,SOUTHCOL,"""",""""
FRANZ OPPURG,AUSTRIA,14,5,1978,SOUTHCOL,"""",""""
MACK JOSEF,GERMANY,14,10,1978,SOUTHCOL,"FRANCO GERMAN JOINT
EXPD.","Dr. Karl Herlig
Koffer"
HANSENGL,GERMANY,14,10,1978,SOUTHCOL,"""",""""
HUBERT HILIMAIER,GERMANY,14,10,1978,SOUTHCOL,"""",""""
JEAN AFANVASSIEF,FRANCE,15,10,1978,SOUTHCOL,"""",""""
HICOLAS JAEGER,FRANCE,15,10,1978,SOUTHCOL,"""",""""
PIERRE MAZEAUD,FRANCE,15,10,1978,SOUTHCOL,"""",""""
KURT DIEMBERGER,AUSTRIA,15,10,1978,SOUTHCOL,"""",""""
ROBERT ALLENGABACH,SWITZERLAND,16,10,1978,SOUTHCOL,"""",""""
MS. WANDA RUTKEWICZ,POLAND,16,10,1978,SOUTHCOL,"""",""""
SIEGERIED HUPFAUER,GERMANY,16,10,1978,WEST RIDGE,"FRANCO GERMAN JOINT
EXPD.","Dr. Karl Herlig
Koffer"
WILHELM KLIMEK,GERMANY,16,10,1978,WEST RIDGE,"""",""""
MINGMA SHERPA,NEPAL,16,10,1978,WEST RIDGE,"""",""""
ANG DORJEE SHERPA,NEPAL,16,10,1978,WEST RIDGE,"""",""""
ANG KAMI TSERING SHERPA,NEPAL,16,10,1978,WEST RIDGE,"""",""""
GEORG RITTER,GERMANY,17,10,1978,WEST RIDGE,"""",""""
BERND DULIMANN,GERMANY,17,10,1978,WEST RIDGE,"""",""""
ZAPLOTNIK ZEREJ,YUGOSLAVIA,13,5,1978,WEST RIDGE,YUGOSLAV EXPEDITION,Tone Skaraj
STREMFEL J. ANDRE,YUGOSLAVIA,13,5,1978,WEST RIDGE,"""",""""
ANG IHU SHERPA,NEPAL,15,5,1979,WEST RIDGE,"""",""""
BOZIC STIPE,YUGOSLAVIA,15,5,1979,WEST RIDGE,"""",""""
STANE BELAK,YUGOSLAVIA,15,5,1979,WEST RIDGE,"""",""""
HERMANN WARTH,GERMANY,1,10,1979,WEST RIDGE,SWABIAN GERMAN EXP,Gerhard Schmatz
HANS VON KAENEL,SWITZERLAND,1,10,1979,WEST RIDGE,"""",""""
GERHARD SCHMAIZ,GERMANY,1,10,1979,WEST RIDGE,"""",""""
PERTEMBA SHERPA,NEPAL,1,10,1979,SOUTHCOL,"""",""""
LHAKPA GYALU SHERPA,NEPAL,1,10,1979,SOUTHCOL,"""",""""
TILMAN FISCHBACH,GERMANY,2,10,1979,SOUTHCOL,"""",""""
GUNTER KENIPFE,GERMANY,2,10,1979,SOUTHCOL,"""",""""
NICHOLAS V. A. BANKS,NEW ZEALAND,2,10,1979,SOUTHCOL,"""",""""
RSM. HANNELO SCHAMATZ,GERMANY,2,10,1979,SOUTHCOL,"""",""""
RAYMOND EDWARD GENET,USA,2,10,1979,SOUTHCOL,"""",""""
ANG JAMBU SHERPA,NEPAL,2,10,1979,SOUTHCOL,"""",""""
ANG PHURBA SHERPA,NEPAL,2,10,1979,SOUTHCOL,"""",""""
SUNDARE SHERPA,NEPAL,2,10,1979,SOUTHCOL,"""",""""
KRZYSZTOF WIELICKI,POLAND,17,2,1980,SOUTHCOL,POLISH NATION EXP,Andrez Zawada
LESZEK CICHY,POLAND,17,2,1980,SOUTHCOL,"""",""""
YASUO KATO,JAPAN,3,7,1980,SOUTHCOL,JAPAN EXPEDITION,Y. Kato
OZAKI TAKASHI,JAPAN,10,5,1980,SOUTHCOL,"""",""""
SHIGO HERO SUNAO,JAPAN,10,5,1980,SOUTHCOL,"""",""""
PASANG TEMBA SHERPA,SPAIN,14,5,1980,SOUTHCOL,BASQUE EXPEDITION,Juan Lorent
MARTIN ZABALETA,SPAIN,14,5,1980,SOUTHCOL,"""",""""
ANSRZEI CZOK,POLAND,19,5,1980,SOUTH PILLAR,POLISH NATION EXP,Andrezej Zswada
JERZY KUKUCZKA,POLAND,19,5,1980,SOUTH PILLAR,"""",""""
RENHOLD MESSNER,ITALY,20,3,1980,NORTH RIDGE,"""",""""
CHRISTOPERH KOPCZYNSKI,USA,21,10,1980,"SOUTH E.
RIDGE","AMERICAN MEDICAL
RESEARCH",Jhon & West
ANG TENZING SHERPA,NEPAL,21,10,1980,"SOUTH E.
RIDGE","""",""""
CHRISTOPERT PIZZO,USA,24,10,1981,"SOUTH E.
RIDGE","""",""""
ANG TENZING SHERPA,NEPAL,24,10,1981,"SOUTH E.
RIDGE","""",""""
PETER HACKET,USA,24,10,1981,"SOUTH E.
RIDGE","""",""""
MYSLOVSKY EDUARD,USSR,4,5,1982,S.W. FACEQ,"SOVIET SAGARMATHA
EXP.",Tamm Evgeni
RALYBERDIN VLADMIR,USSR,4,5,1982,S.W. FACEQ,"""",""""
BERSHOV SERGET,USSR,4,5,1982,S.W. FACEQ,"""",""""
TURKEVTTCH MIKHAIL,USSR,4,5,1982,S.W. FACEQ,"""",""""
IVANOV VALENTIN,USSR,5,5,1982,S.W. FACEQ,"""",""""
EFIMOV SERGEI,USSR,5,5,1982,S.W. FACEQ,"""",""""
KHRISCHARYII VALERV,USSR,5,5,1982,S.W. FACEQ,“,“
VALIEY KAZBEK,USSR,8,5,1982,S.W. FACEQ,"""",""""
VELERY KHOMUTOV,USSR,9,5,1982,S.W. FACEQ,"""",""""
YUN COIODOV,USSR,9,5,1982,S.W. FACEQ,"""",""""
VLADIMIR PUTCHKOV,USSR,9,5,1982,S.W. FACEQ,"""",""""
LAURIE SKRESLET,CANADA,5,10,1982,SOUTHCOL,CANADIAN EVEREST EXP,"William Joeph
March"
SUNDARE SHERPA,NEPAL,5,10,1982,SOUTHCOL,"""",""""
LHAKPA DORJE SHERPA,NEPAL,5,10,1982,SOUTHCOL,"""",""""
PATRIK MARROW,CANADA,7,10,1982,SOUTHCOL,"""",""""
PEMA DORJE,NEPAL,7,10,1982,SOUTHCOL,"""",""""
LHAKPA TSERING,NEPAL,7,10,1982,SOUTHCOL,"""",""""
YASUO KATO,JAPAN,27,12,1983,"SOUTH E.
RIDGE","JAPAN WINTER
EXPEDITION",Yasuo Kato
GARRY NEPTUNE,USA,14,4,1983,SOUTHCOL,"GERMAN AMERICAN
EVEREST EXPD.",Gerhard Lenser
JANES STATEW,USA,14,4,1983,SOUTHCOL,"""",""""
LHAKPA DORJEE SHERPA,NEPAL,14,4,1983,SOUTHCOL,"""",""""
DAVID F. BREASHERS,USA,7,5,1983,SOUTHCOL,"""",""""
PETER JAMIESON,USA,7,5,1983,SOUTHCOL,"""",""""
GERAED ROACH,USA,7,5,1983,SOUTHCOL,"""",""""
LARRY NIELSON,USA,7,5,1983,SOUTHCOL,"""",""""
ANG RITA SHERPA,NEPAL,7,5,1983,SOUTHCOL,"""",""""
SANGUKU KAWAMURA,JAPAN,8,10,1983,SOUTH EAST,"SANGUKU DOSNFAI
EXPEDITION","Haruichi
Kawamura"
SHOMI SUZUKI,JAPAN,8,10,1983,SOUTH EAST,"""",""""
HIROSHI YOSHINO,JAPAN,8,10,1983,SOUTHCOL,YETI DJIN EVEREST EXP,Hiroshi Yoshino
HIRONOBU KAMURO,JAPAN,8,10,1983,SOUTHCOL,"""",""""
HARUYUKI ENDO,JAPAN,8,10,1983,SOUTHCOL,"""",""""
CARLOS BUCHLER,USA,8,10,1983,EAST FACE,"AMERICAN EAST FACE
EVEREST",Carlos Bhuler
KIM MOMB,USA,8,10,1983,EAST FACE,"""",""""
DANREIF,USA,9,10,1983,EAST FACE,"""",""""
GEORGE LOW,USA,9,10,1983,EAST FACE,"""",""""
JAY CASSELL,USA,9,10,1983,EAST FACE,"""",""""
NOBORU YAMADA,JAPAN,16,12,1983,SOUTHCOL,"JAPAN EVEREST WINTER
EXPD.",Kazuyki Takahashi
TAKASHI OZAKI,JAPAN,16,12,1983,SOUTHCOL,"""",""""
KAZUNARI MURALAMI,JAPAN,16,12,1983,SOUTHCOL,"""",""""
NAWANG YONDEN SHERPA,NEPAL,16,12,1983,SOUTHCOL,"""",""""
HRISTO IVANOV PRODANOV,BULGARIA,20,14,1984,WEST RIDGE,BULGARIAN EVEREST EXP,"Avramilev
Avramov"
IVA GUEORGUTEV VALCHEEV,BULGARIA,5,5,1984,WEST RIDGE,"""",""""
METODI STEFASIOV SAVOV,BULGARIA,5,5,1984,"DESCEND
FROM SE.
RIDGE","""",""""
NIKOLAY MIHAYLOV,BULGARIA,9,5,1984,WEST RIDGE,"""",""""
KIRIK DIMITROV DOSKOV,BULGARIA,9,5,1982,WEST RIDGE,“,“
PHU DORJEE,INDIA,23,5,1984,SE. RIDGE,INDIAN EVEREST EXP,Co. D.K. Khular
MISS BACHENDRIPAL,INDIA,23,5,1984,SE. RIDGE,"""",""""
DOARJEE LHATOO,INDIA,23,5,1984,SE. RIDGE,"""",""""
SONAM PALXOR,INDIA,23,5,1984,SE. RIDGE,"""",""""
ANG DORJEE SHERPA,NEPAL,23,5,1984,SE. RIDGE,"""",""""
TIM MCCARTNET SNAPE,AUSTRALIA,3,10,1984,NORTH FACE,,
GREG MIRTIMER,AUSTRALIA,3,10,1984,NORTH FACE,,
BART VOS,NETHERLANDS,8,10,1984,"SOUTH E.
RIDGE",DUTCH EVEREST EXP,Hermann Plugge
JOZEF PSOTKA,CZECHOSLOVAKIA,15,10,1984,"SOUTH POLLER
BUT
DESENDING
FROM S.E.
RIDGE",SLOVAK EVEREST EXP,Frantise Kele
ZOLTAN DEMZAN,CZECHOSLOVAKIA,15,10,1984,"SOUTH POLLER
BUT
DESENDING
FROM S.E.
RIDGE","""",""""
ANG RITA SHERPA,NEPAL,15,10,1984,"SOUTH E.
RIDGE","""",Frantise Kele
PHILIP ERSHIER,USA,20,10,1984,NORTH CO.,AMERICAN RAINIER EXP,Louis W. Whittaker
CHRIS BONINGTON,UK,21,4,1985,"S.E.
RIDGE","NORWEGIAN EVEREST
EXPD.",Arne Nasse
ODD ELIASSEN,UK,21,4,1985,"S.E.
RIDGE","""",""""
ODDS EKIASSEN,UK,21,4,1985,"S.E.
RIDGE","""",""""
BJORN MYERLUND,NORWAY,21,4,1985,"S.E.
RIDGE","""",""""
PERTEMBA SHERPA,NEPAL,21,4,1985,"S.E.
RIDGE","""",""""
ANG LAKPA SHERPA,NEPAL,21,4,1985,"S.E.
RIDGE","""",""""
DA NURU SHERPA,NEPAL,21,4,1985,"S.E.
RIDGE","""",""""
ARNE NASSE,NORWAY,29,4,1985,"S.E.
RIDGE","""",""""
FALPH HOUBAKK,NORWAY,29,4,1985,"S.E.
RIDGE","""",""""
HAVARD NESHEIM,NORWAY,29,4,1985,"S.E.
RIDGE","""",""""
AASHEIM STEIN,NORWAY,29,4,1985,"S.E.
RIDGE","""",""""
PEMA DORJE SHERPA,NEPAL,29,4,1985,"S.E.
RIDGE","""",""""
SUNDARE SHERPA,NEPAL,29,4,1985,"S.E.
RIDGE","""",""""
ANG RITA SHERPA,NEPAL,29,4,1985,"S.E.
RIDGE","""",""""
CHAWANG RINZING SHERPA,NEPAL,29,4,1985,"S.E.
RIDGE","""",""""
RICHARD D. BASS,USA,30,4,1985,"S.E.
RIDGE","""",""""
DAVID FINLAY DREASHERES,USA,30,4,1985,"S.E.
RIDGE","""",""""
ANG PHURBA SHERPA,NEPAL,30,4,1985,"S.E.
RIDGE","""",""""
OSCAR CADIAXH I PUIG,SPAIN,1,1,1985,NORTH SIDE,"CAIXA DE BARCELONA
A'S EVEREST","Conrad Blanch I
Fors"
ANTONI SORS I FERRER,SPAIN,1,1,1985,NORTH SIDE,"""",""""
CARLES VALLES I OCANA,SPAIN,1,1,1985,NORTH SIDE,"""",""""
SHAMBU TAMANG,NEPAL,1,1,1985,NORTH SIDE,"""",""""
"ANG K. GURUNG ""SHERPA""",NEPAL,1,1,1985,NORTH SIDE,"""",""""
NARAYAN SHRESTHA,NEPAL,1,1,1985,NORTH SIDE,"""",""""
YAGIHARA KUNIAKI,JAPAN,1,1,1985,SOUTHCOL,NAOMI UEMURA FILM EXPD.,Y. Kuniaki
NOBORU YAMADA,JAPAN,1,1,1985,SOUTHCOL,"""",""""
NAJUKA HIDEJI,JAPAN,1,1,1985,SOUTHCOL,"""",""""
A KUS\TSU ETSUO,JAPAN,1,1,1985,SOUTHCOL,"""",""""
KIMOTO SATASHI,JAPAN,1,1,1985,SOUTHCOL,"""",""""
SATO TSUYOSHI,JAPAN,1,1,1985,SOUTHCOL,"""",""""
SAEGUSA TERUO,JAPAN,1,1,1985,SOUTHCOL,"""",""""
DWAYNE CONGDON,CANADA,1,1,1986,NORTH SIDE,CANADIAN EXPEDITION,D. Congdon
MS SHARON WOOD,CANADA,1,1,1986,NORTH SIDE,"""",""""
JEAN TROILLET,SWITZERLAND,1,1,1986,NORTH SIDE,SWITZERLAND EXPEDITION,
ERHARD LORETAN,SWITZERLAND,1,1,1986,NORTH SIDE,"""",
ANG RITA SHERPA,NEPAL,1,1,1988,"SOUTH E.
RIDGE","KOREAN WINTER EVEREST
EXPD.",Young Hahm
YOUNG HO HEO,SOUTH KOREA,1,1,1988,"SOUTH E.
RIDGE","""",""""
CERIN DOJI,CHINA,5,5,1988,NORTH S. COL,"CHINA-JAPAN-NEPAL
FRIENDSHIP EXP.",
NOBORU YAMADA,JAPAN,5,5,1988,NORTH S. COL,"""",
ANG LHAKPA SHERPA,NEPAL,5,5,1988,NORTH S. COL,"""",
RINJIN PUNCOG,CHINA,5,5,1988,SOUTH-NORTH,"""",
DA CERING,CHINA,5,5,1988,SOUTH-NORTH,"""",
ANG PHURBA SHERPA,NEPAL,5,5,1988,SOUTH-NORTH,"""",
LI ZHI XIN,CHINA,5,5,1988,NORTH,"""",
MUHEHIKO YAMAMOTO,JAPAN,5,5,1988,NORTH,"""",
LHAKPA SONAM SHERPA,NEPAL,5,5,1988,NORTH S. COL,"""",
NAKAMURA SUSUMU,JAPAN,5,5,1988,NORTH S. COL,"""",
NAKAMURA SYOJI,JAPAN,5,5,1988,NORTH S. COL,"""",
SEAGUSA TERUO,JAPAN,5,5,1988,NORTH S. COL,"""",
SUNDARE SHERPA,NEPAL,10,5,1988,SOUTH SIDE,"""",
PADAMA BAHADUR TAMANG,NEPAL,10,5,1988,SOUTH SIDE,"""",
PAUL BAYNE,AUSTRALIA,25,5,1988,SOUTHCOL,"AUSTRALIAN BIXENTENNIAL
EVEREST EXPD.",Austin Brookes
PATRICK A. CULLINAN,AUSTRALIA,25,5,1988,SOUTHCOL,"""",""""
JOHN K. MUIR,AUSTRALIA,28,5,1988,SOUTHCOL,"""",""""
MR. JOAN-PIERRE FRANCHON,AUSTRALIA,28,5,1988,SOUTHCOL,"FRENCH EVEREST
EXPMARC",Austin Brookes
MR. JOAN MARC BORVAN,FRANCE,26,9,1988,SOUTHCOL,"""",Batard
MR. MICHEL METZGER,FRANCE,26,9,1988,SOUTHCOL,"""",""""
MR. AUDRE GEORGES,FRANCE,26,9,1988,SOUTHCOL,"""",""""
MR. GOROUND VIONET FUASSET,FRANCE,26,9,1988,SOUTHCOL,"""",""""
MR. PASANG TSHERING SHERPA,NEPAL,26,9,1988,SOUTHCOL,"""",""""
MR. AGIWA,FRANCE,26,9,1988,SOUTHCOL,"""",""""
MR. SONAM TSHERING SHERPA,NEPAL,26,9,1988,SOUTHCOL,"""",""""
MR. CHANG-SUN KIM,SOUTH KOREA,26,9,1988,SOUTHCOL,"KOREAN EVEREST LHOTSE
EXP.",Chang Min Choi
MR. HONG GIL UM,SOUTH KOREA,26,9,1998,SOUTHCOL,“,“
MR. PEMA DORJEE SHERPA,NEPAL,26,9,1988,SOUTHCOL,"""",""""
MR. MARC BATARED,FRANCE,26,9,1988,SOUTHCOL,FRENCH EVEREST EXP.,
BONG-WAN JANG,SOUTH KOREA,29,9,1988,SOUTH PILLAR,88 KOREAN EVEREST,Chang-Min Chol
BYANG-HO CHANG,SOUTH KOREA,29,9,1988,SOUTH PILLAR,"KOREAN EVEREST LHOTSE
EXP.",",,"
SEUNG-KWON CHUNG,SOUTH KOREA,29,9,1988,SOUTH PILLAR,",,",",,"
MS. STACY MARIE ALLISON,USA,29,9,1988,SOUTHCOL,"NORTH WEST AMERICAN
EVEREST EXP.",J.C. Frush
PASANG GYALZEN SHERPA,NEPAL,29,9,1988,SOUTHCOL,"""",""""
NIMA TASHI,NEPAL,2,10,1988,NORTH WEST,AMERICAN EVEREST EXP,""""
PHU DORJEE SHERPA,NEPAL,2,10,1988,NORTH WEST,"""",""""
DAWA TSHERING,NEPAL,2,10,1988,NORTH WEST,"""",""""
GEOFFREY CRAIG TABIN,USA,2,10,1988,NORTH WEST,"""",""""
MS. PEGGY JOAN LUCE,USA,2,10,1988,NORTH WEST,"""",""""
SUN-WOO NAM,SOUTH KOREA,2,10,1988,SOUTH PILLAR,"88 KOREAN EVEREST
LHOTSE EXPD.",Chang-Min Chol
SERG KOENIG,FRANCE,13,10,1989,SOUTHCOL,FRENCH TV GROUP,
PASANG TEMBA SHERPA,NEPAL,13,10,1989,SOUTHCOL,"FRENCH TV GROUP (DIE
DURING DESCEND)",
LAKPA SONAM SHERPA,NEPAL,13,10,1989,SOUTHCOL,FRENCH TV. GROUP,
NIL BOHIGAS,SPAIN,14,10,1988,SOUTHCOL,EPSON CATLAN,Liuis Belvis
LUIS GINER,SPAIN,14,10,1988,SOUTHCOL,",,",",,"
JERONIMO LOPEZ,SPAIN,14,10,1988,SOUTHCOL,",,",",,"
ANG RITA SHERPA,NEPAL,14,10,1988,SOUTHCOL,",,",",,"
NIMA TIRA SHERPA,NEPAL,14,10,1988,SOUTHCOL,",,",",,"
JOZEF JUST,CZECHOSLOVAKIA,17,10,1988,S.W. FACE,"CZECHOSLOVAK/
NEWZEALAND EVEREST
LHOTSE EXPEDITION",I. Fiala
VIKTOR GROSELI,YUGOSLAVIA,10,5,1989,S.W. FACE,"MACEDONIAN YUGOSLAV
EVEREST/LHOTSE EXP",Jovan Poposki
STIPE BOZIC,YUGOSLAVIA,10,5,1989,S.W. FACE,"""",""""
DIMITAR ILIVSKO,YUGOSLAVIA,10,5,1989,S.W. FACE,"""",""""
SONAM TSHIRING SHERPA,NEPAL,10,5,1989,S.W. FACE,"""",""""
AGIWA SHERPA,NEPAL,10,5,1989,S.W. FACE,"""",""""
RICARDO TORRES NAVA,MEXICO,16,5,1989,S.W. FACE,"AMERICAN MEXICAN
EVEREST EXP.",Dr. W. Mcconnell
PHU DORJE SHERPA,NEPAL,16,5,1989,S.W. FACE,"""",""""
DAWA NORBU SHERPA,NEPAL,16,5,1989,S.W. FACE,"""",""""
ADRIAN BURGESS,UK,24,5,1989,S.E. RIDGE,"AMERICAN SNOW BIRD
EVEREST EXP.","Ms. Karen
Fellerhoff"
RODERICK MACKENZIE,UK,24,5,1989,S.E. RIDGE,"""",""""
LHAKPA NURU SHERPA,NEPAL,24,5,1989,S.E. RIDGE,"""",""""
SONAM DENDU SHERPA,NEPAL,24,5,1989,S.E. RIDGE,“,“
EUGENIUSZ CHORBAK,POLAND,24,5,1989,WEST RIDGE,"INTERNATIONAL
EVEREST EXP.",E. Chrobak
ANDRZEJ MARCINIAK,POLAND,24,5,1989,WEST RIDGE,"""",""""
TOICHIRO MITANO,JAPAN,13,10,1989,S.E. RIDGE,"KATHMANDU CLUB EXP.
JAPAN",Ken Kanazawa
HIROSHI OHNISHI,JAPAN,13,10,1989,S.E. RIDGE,"""",""""
ATSUSHI YAMAMOTO,JAPAN,13,10,1989,S.E. RIDGE,"""",""""
CHULDING SHERPA,NEPAL,13,10,1989,S.E. RIDGE,"""",""""
CHIRING CHUMDI SHERPA,NEPAL,13,10,1989,S.E. RIDGE,"""",""""
CARLOS CARSOLIO,MEXICO,13,10,1989,S..E. RIDGE,MEXICAN EVEREST EXP.,Carlos Carsolio
CHOKWANG JAE,SOUTH KOREA,13,10,1989,SOUTH PILLAR,KOREAN AK DONG EXP.,Kim In Tea
SANG YOUNG JUNG,SOUTH KOREA,23,10,1989,WEST RIDGE,"KOREAN POST LHOLA
EXP.",Suk Woo Lee
NIMA RITA SHERPA,NEPAL,23,10,1989,WEST RIDGE,"""",""""
NURBU JANGBU SHERPA,NEPAL,23,10,1989,WEST RIDGE,"""",""""
OSKAR BERTIL KIHLBURG,SWEDEN,10,5,1990,SOUTHCOL,"NEWZEALAND CENTENARY
INT'L EVEREST EXP",Robert E. Hall
DA NURU SHERPA,NEPAL,10,5,1990,SOUTHCOL,"""",""""
ROBERT DEWIN HALL,NEW ZEALAND,10,5,1990,SOUTHCOL,"""",""""
GARY IAN BALL,NEW ZEALAND,10,5,1990,SOUTHCOL,"""",""""
PETER HILLARY,NEW ZEALAND,10,5,1990,SOUTHCOL,"""",""""
APA SHERPA,NEPAL,10,5,1990,SOUTHCOL,"""",""""
RUDY VAN SNICK,BELGIUM,10,5,1990,SOUTHCOL,"""",""""
MIKAEL REUTERSWARD,SWEDEN,11,5,1990,SOUTHCOL,"""",""""
GLEEN PORZAK,USA,10,5,1990,SOUTHCOL,"AMERICAN EVEREST
LHOTSE EXPD.",G. Porzak
MICHAEL F. BROWING,USA,10,5,1990,SOUTHCOL,"""",""""
BRENT. V. MANNING,USA,10,5,1990,SOUTHCOL,"""",""""
PETER G. ATHANS,USA,10,5,1990,SOUTHCOL,"""",""""
